,"date of 
loss",date signed,date closed,,,,,Initial Reserve - Bld,Adj Reserve - Bld,Settlement Amt - Bld,Variance ($) (Stl - Init Rsv) - Bld,Variance (% of Stl) (Stl - Init Rsv) - Bld,Initial Reserve - Cont,Adj Reserve - Cont,Settlement Amt - Cont,Variance ($) (Stl - Init Rsv) - Cont,Variance (% of Stl) (Stl - Init Rsv) - Cont,Initial Reserve - BI,Adj Reserve - BI,Settlement Amt - BI,Variance ($) (Stl - Init Rsv) - BI,Variance (% of Stl) (Stl - Init Rsv) - BI,Fee - Bld,Fee - Cont,Fee - BI,Fees Collected,Write off,A/R,,,,,,,,,Comments,,
2018057,3/21/18,3/22/18,6/24/20,Closed,,Wayne,MI," $950,000 "," $1,388,251 "," $1,388,251 ","$438,251",32%, $-   , $-   , $-   ,$0,#DIV/0!," $85,000 ", $-   , $-   ,"$85,000",#DIV/0!,8.00%,0.00%,0.00%,"$108,243","$7,461",$0,Solicitor 1 CMG,,Lead JEM,BI Adjuster JEM,"Building Adjuster JEM
",BI Support YXG,Building Support WLP,,,,
2018036,1/9/18,2/5/18,6/24/20,Closed,,Kaleva,MI," $1,500,000 "," $2,000,000 "," $2,753,571 ","$1,253,571",46%," $92,360 "," $125,000 ", $-   ,"$92,360",#DIV/0!," $200,000 "," $150,000 "," $100,517 ","$99,483",-99%,7.00%,7.00%,7.00%,"$207,800",$0,$0,Solicitor 1 DC1,Solicitor 2 MTN,Lead HSM,Building Adjuster HSM,Building Adjuster MAM,"Contents Adjuster HSM
Contents Adjuster RWS",BI Adjuster HSM,BI Support WMB,,,
2019071IL,3/14/19,3/15/19,5/28/20,Closed,,S,IL," $500,000 "," $700,000 "," $701,463 ","$201,463",29%, $-   , $-   , $-   ,$0,#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!,7.00%,0.00%,7.00%,"$49,102",$0,$0,Solicitor 1 ALK,Solicitor 2 SXR,Lead KSV,BI Adjuster YXG,Building Adjuster KSV,,,,,,
2019012IL,1/42019,1/10/19,5/28/20,Closed,,Morton,IL," $280,000 "," $175,000 "," $576,813 ","$296,813",51%, $-   , $-   , $-   ,$0,#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!,0.00%,0.00%,0.00%,"$39,677",$0,$0,Solicitor 1 ALK,,Lead KSV,Building Adjuster KSV,,,,,"$39,677 collected, no WO. Looks like fee  of 7% was charnged though not given in ProLaw; that's the amount given in the contract.",,
2018144ILH,10/10/18,10/10/18,5/28/20,Closed,,Panama,FL," $7,000,000 ", $-   ," $12,436,310 ","$5,436,310",44%, $-   , $-   ," $13,586 ","$13,586",100%," $1,000,000 ", $-   ," $1,176,836 ","$176,836",15%,7.00%,0.00%,0.00%,"$946,871",$0,$0,Solicitor 1 ALK,Solicitor 2 SXR,Solicitor 3 EAG,Lead JEM,Building Adjuster JEM,Contents Adjuster JEM,BI Support WMB,"BI Adjuster JEM
BI Support YXG","Total fees paid $946,871 --> implies recovered $13,526,729; Looks like we collected 7% on all recoveries.",,
2017135IL,7/28/17,8/8/17,5/28/20,Closed,,Chicago,IL," $925,763 ", $-   ," $1,006,375 ","$80,612",8%," $622,900 ", $-   ," $693,040 ","$70,140",10%," $1,200,000 "," $600,000 "," $1,361,417 ","$161,417",12%,0.00%,0.00%,0.00%,"$136,838",$0,$0,Solicitor 1 ALK,Solicitor 2 EAG,Lead KSV,Contents Adjuster RWS,Contents Adjuster KSV,Building Adjuster KSV,BI Adjuster KSV,"BI Support WMB
BI Support YXG","Fee Notes: 0% up to $300k / 5% $301 - 1.7M / 6.5% $1.7 - $2M / 10% over $2M;
.05*1,400,000+.065*300,000+.1*1,060,832) = $195,583
We collected $136,838 ($3,060832 total settlement)",,
2017024IL,6/4/16,12/14/16,5/28/20,Closed,,Tucson,AZ, $-   , $-   ," $2,950,000 ","$2,950,000",100%, $-   , $-   , $-   ,$0,#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!,10.00%,0.00%,0.00%,"$165,578",$0,$0,Solicitor 1 RPL,,Lead RPL,Building Support DVL,"Building Adjuster RPL
",,,,,,
2016065IL,2/22/16,4/12/16,5/28/20,Closed,,New York,NY, $-   , $-   ," $1,343,529 ","$1,343,529",100%, $-   , $-   ," $1,064,969 ","$1,064,969",100%, $-   , $-   ," $243,835 ","$243,835",100%,10.00%,10.00%,0.00%,"$265,233",$0,$0,Solicitor 1 RPL,Solicitor 2 SXR,Lead RPL,Contents Adjuster RPL,BI Adjuster RPL,Building Adjuster RPL,,,,,
2015101IL,7/12/15,7/12/15,5/28/20,Closed - Lawsuit,,Evanston,IL, $-   , $-   ," $27,000 ","$27,000",100%, $-   , $-   , $-   ,$0,#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!,10.00%,10.00%,0.00%,"$2,700",$0,$0,Solicitor 1 ALK,,Lead GCB,Building Adjuster KSV,Contents Adjuster GCB,Building Support GCB,,,,,
2019134,10/23/18,10/24/18,5/28/20,Closed,,Birmingham,MI," $119,000 ", $-   , $-   ,"$119,000",#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!,10.00%,0.00%,0.00%,"$11,900",$0,$0,Solicitor 1 CMG,,Lead CMG,Building Adjuster CMG,,,,,"Looks like what was entered uinto ProLaw as ""Bld Fixed Reserve"" was actually the ""Bld Stl Amt""",,
2019133,10/6/19,10/7/19,5/28/20,Closed,,Southfield,MI," $1,250,000 "," $1,250,000 "," $983,000 ","$267,000",-27%, $-   , $-   , $-   ,$0,#DIV/0!," $80,000 "," $25,000 "," $25,000 ","$55,000",-220%,7.00%,0.00%,7.00%,"$73,990",$0,$0,Solicitor 1 LMF,,Lead LMF,Building Adjuster GCB,BI Adjuster LMF,Building Adjuster LMF,,,,,
2019124,5/26/19,9/23/19,5/28/20,Closed,,Troy,MI," $300,000 ", $-   ," $190,000 ","$110,000",-58%, $-   , $-   , $-   ,$0,#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!,10.00%,10.00%,0.00%,"$19,000",$0,$0,Solicitor 1 AXQ,,Lead GCB,Building Support AXQ,Contents Adjuster KLT,,,,,,
2019107,8/12/17,5/21/19,5/28/20,Closed,,West,MI," $244,466 ", $-   ," $244,966 ",$500,0%, $-   , $-   , $-   ,$0,#DIV/0!," $20,000 ", $-   ," $20,000 ",$0,0%,7.00%,7.00%,7.00%,"$18,373",$0,$0,Solicitor 1 JEM,,Lead JEM,Contents Adjuster JEM,Building Adjuster JEM,BI Adjuster JEM,,,,,
2019105,7/4/19,7/28/19,5/28/20,Closed,,Bloomfield,MI," $200,000 "," $200,000 "," $306,282 ","$106,282",35%," $60,000 "," $60,000 "," $37,556 ","$22,444",-60%, $-   , $-   , $-   ,$0,#DIV/0!,10.00%,10.00%,10.00%,"$32,847",$0,$0,Solicitor 1 RPL,,Lead RPL,Building Support DAD,Building Adjuster HSM,Contents Adjuster KLT,Building Adjuster MAM,,,,
2019088,6/10/19,6/25/19,5/28/20,Closed,,Novi,MI, $-   , $-   ," $241,565 ","$241,565",100%, $-   ," $1,000,000 "," $1,741,167 ","$1,741,167",100%, $-   , $-   ," $378,846 ","$378,846",100%,10.00%,10.00%,10.00%,"$236,158",$0,$0,Solicitor 1 RPL,,Lead RPL,Building Adjuster MAM,BI Adjuster GCB,Contents Adjuster GCB,Adjuster GCB,Building Adjuster GCB,,,
2019049,2/1/19,3/12/19,5/28/20,Closed,,Orchard,MI," $450,000 ", $-   ," $850,000 ","$400,000",47%, $-   , $-   , $-   ,$0,#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!,10.00%,0.00%,0.00%,"$85,000",$0,$0,Solicitor 1 CMG,,Lead KSV,Building Adjuster KSV,"Building Adjuster MAM
",Building Adjuster DXW,,,,,
2019027,11/30/18,2/8/19,5/28/20,Closed,,Southfield,MI," $400,000 "," $1,000,000 "," $6,136,236 ","$5,736,236",93%, $-   , $-   , $-   ,$0,#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!,10.00%,0.00%,0.00%,"$342,468",$0,$0,Solicitor 1 RPL,,Lead RPL,Building Adjuster MAM,Building Adjuster HSM,,,,"Signed at 10%, collect fee at 5.6%; Notes Bld: Payment received from FM.  Farbman portion of fees paid.  Bobby working out fees with Signal and Blue Team.",,
2018096,6/18/18,6/19/18,5/28/20,Closed,,Port,MI," $291,200 "," $291,200 "," $292,900 ","$1,700",1%," $26,320 "," $26,320 "," $29,315 ","$2,995",10%," $50,000 "," $1,000 ", $-   ,"$50,000",#DIV/0!,8.00%,8.00%,8.00%,"$24,437",$0,$0,Solicitor 1 SJG,Solicitor 2 SMD,Lead LMF,Contents Adjuster LMF,Contents Adjuster RWS,BI Adjuster LMF,Building Adjuster LMF,,,,
2018086,1/9/18,5/23/18,5/28/20,Closed,,Rochester  ,MI," $250,000 "," $250,000 "," $101,035 ","$148,965",-147%," $50,000 "," $50,000 "," $51,000 ","$1,000",2%, $-   , $-   , $-   ,$0,#DIV/0!,10.00%,10.00%,10.00%,"$15,000",$0,$0,Solicitor 1 HSM,Solicitor 2 MAM,Lead HSM,Building Adjuster HSM,Contents Adjuster MAD,Building Support WLP,,,,,
2017181,8/26/17,10/17/17,5/28/20,Closed,,Allen,MI," $800,000 ", $-   ," $1,010,595 ","$210,595",21%, $-   , $-   , $-   ,$0,#DIV/0!," $100,000 "," $35,000 "," $66,964 ","$33,036",-49%,7.00%,0.00%,0.00%,"$75,079",$0,$0,Solicitor 1 DC1,,Lead JEM,BI Adjuster JEM,Building Adjuster JEM,,,,"We appear to have collected approximately 7% in fees for the BI settlement, though no Fee % Listed",,
2017173,10/1/17,10/4/17,5/28/20,Closed,,Belleville,MI," $150,000 "," $150,000 "," $160,447 ","$10,447",7%," $75,000 "," $75,000 "," $116,004 ","$41,004",35%," $25,000 "," $25,000 "," $4,840 ","$20,160",-417%,10.00%,10.00%,10.00%,"$31,410",$576,$0,Solicitor 1 JJM,,Lead JJM,BI Adjuster JJM,Building Adjuster JJM,Contents Adjuster MAD,,,,,
2018141,1/7/18,10/4/18,5/26/20,Closed,,Davison ,MI," $150,000 ", $-   ," $115,094 ","$34,906",-30%, $-   , $-   ," $2,424 ","$2,424",100%, $-   , $-   , $-   ,$0,#DIV/0!,10.00%,10.00%,0.00%,"$11,137","$1,456",$0,Solicitor 1 CMG,Solicitor 2 SMD,Lead JJM,Building Adjuster JJM,Contents Adjuster JJM,,,,,,
2019023,,2/4/19,2/26/20,Closed,,Pontiac,MI," $1,200,000 ", $-   ," $937,771 ","$262,229",-28%," $165,000 ", $-   ," $168,413 ","$3,413",2%, $-   , $-   ," $82,812 ","$82,812",100%,4.00%,4.00%,4.00%,"$47,560",,,Solicitor 1 EAG,Solicitor 2 CMG,Contents Adjuster RWS,Building Adjuster CPB,BI Support YXG,Supervisor GCB,Lead GCB,Contents Adjuster CPB,,,
2018174,,12/5/18,2/26/20,Closed,,Oak Park,MI," $150,000 "," $200,000 "," $192,688 ","$42,688",22%," $100,000 "," $10,000 ", $-   ,"$100,000",#DIV/0!," $30,000 ", $-   , $-   ,"$30,000",#DIV/0!,10.00%,10.00%,10.00%,"$17,978","$3,600",,Solicitor 1 EAG,Solicitor 2 YXG,Building Adjuster CPB,Building Adjuster LMF,,Lead LMF,Contents Adjuster KLT,BI Adjuster KLT,,,
2018090,,5/29/18,2/26/20,Closed,,Berkley,MI, $-   , $-   , $-   ,$0,#DIV/0!," $400,000 "," $400,000 "," $420,000 ","$20,000",5%," $100,000 ", $-   ," $873,805 ","$773,805",89%,0.00%,7.50%,7.50%,"$83,303",,,Solicitor 1 CMG,,BI Adjuster LMF,Contents Adjuster RWS,BI Support WMB,Contents Adjuster LMF,Lead LMF,"Building Adjuster LMF
Building Adjuster MAM",,,
2018023,,1/18/18,2/26/20,Closed,,West Bloomfield,MI," $350,000 "," $300,000 "," $342,574 ","$7,426",-2%," $50,000 "," $50,000 "," $166,563 ","$116,563",70%, $-   , $-   , $-   ,$0,#DIV/0!,10.00%,10.00%,0.00%,"$47,280",$17,,Solicitor 1 RPL,,Contents Adjuster KLT,"Building Adjuster JJM
Building Adjuster MAM",BI Adjuster KLT,,Lead RPL,Lead JJM,,,
2018010,,1/8/18,2/26/20,Closed,,Birmingham,MI," $300,000 "," $500,000 "," $508,342 ","$208,342",41%," $100,000 "," $75,000 "," $83,162 ","$16,838",-20%, $-   , $-   , $-   ,$0,#DIV/0!,10.00%,10.00%,10.00%,"$59,150",,,Solicitor 1 CMG,,Contents Adjuster KLT,Building Adjuster LMF,Lead LMF,,,,,,
2016157,,10/12/16,2/26/20,Closed,,Romulus,MI," $1,000,000 ", $-   ," $1,023,763 ","$23,763",2%," $60,000 ", $-   ," $26,812 ","$33,188",-124%," $25,000 ", $-   , $-   ,"$25,000",#DIV/0!,5.00%,0.00%,5.00%,"$54,852",,,Solicitor 1 JEM,,Lead JEM,Contents Adjuster JEM,Building Adjuster JEM,BI Adjuster JEM,BI Support YXG,,,,
2019079IL,,5/30/19,1/11/20,Closed,,North Platte,NE," $1,000,000 ", $-   ," $390,293 ","$609,707",-156%, $-   , $-   , $-   ,$0,#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!,6.00%,6.00%,0.00%,"$23,684",,,Solicitor 1 GCB,,Building Adjuster PTJ,Lead JEM,Contents Adjuster PTJ,Supervisor JEM,,,,,
2018181IL,,10/17/18,1/11/20,Closed,,West Palm,FL, $-   , $-   , $-   ,$0,#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!,0.00%,0.00%,0.00%,"$3,450",,,Solicitor 1 GCB,,Building Adjuster CPB,Supervisor GCB,Lead GCB,,,,,,
2018152IL,,8/8/18,1/11/20,Closed,,Sheldon,WI, $-   , $-   , $-   ,$0,#DIV/0!," $127,600 "," $127,600 "," $127,600 ",$0,0%, $-   ," $30,000 "," $26,400 ","$26,400",100%,10.00%,10.00%,0.00%,"$15,400",,,Solicitor 1 SJG,Solicitor 2 MTN,BI Adjuster JJM,Contents Adjuster MAD,Lead JJM,,,,,,
2018150IL,,10/24/18,1/11/20,Closed,,Northfield,OH," $200,000 "," $150,000 "," $152,655 ","$47,345",-31%, $-   , $-   , $-   ,$0,#DIV/0!," $100,000 "," $10,000 "," $40,000 ","$60,000",-150%,8.00%,0.00%,8.00%,"$14,612",,,Solicitor 1 YXG,Solicitor 2 KSV,Building Adjuster KSV,BI Adjuster KSV,Building Support DAD,BI Support YXG,Lead KSV,,,,
2018145IL,,10/17/18,1/11/20,Closed,,Springfield,IL, $-   , $-   ," $265,444 ","$265,444",100%, $-   , $-   ," $20,519 ","$20,519",100%, $-   , $-   , $-   ,$0,#DIV/0!,0.00%,0.00%,0.00%,"$42,894",,,Solicitor 1 ALK,,Lead GCB,Building Adjuster GCB,Contents Adjuster GCB,Building Adjuster MAM,BI Adjuster GCB,,,,
2018125IL,,9/6/18,1/11/20,Closed,,Chicago,IL, $-   , $-   , $-   ,$0,#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!," $1,000,000 "," $1,000,000 "," $210,000 ","$790,000",-376%,0.00%,0.00%,8.00%,"$16,800",,,Solicitor 1 ALK,,BI Support WMB,Lead HSM,BI Adjuster HSM,,,,,,
2018084IL,,3/27/18,1/11/20,Closed,,Tulsa,OK," $500,000 ", $-   ," $894,554 ","$394,554",44%, $-   , $-   , $-   ,$0,#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!,7.00%,0.00%,0.00%,"$62,619",,,Solicitor 1 ALK,Solicitor 2 CMG,Solicitor 3 SXR,Lead KSV,Building Adjuster KSV,,,,,,
2019123,,8/22/19,1/11/20,Closed,,Dearborn,MI," $60,000 "," $75,000 "," $79,150 ","$19,150",24%, $-   , $-   , $-   ,$0,#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!,7.50%,0.00%,0.00%,"$5,312",,,Solicitor 1 JEM,,Building Support DAD,Lead JEM,Building Adjuster JEM,,,,,,
2019109,,8/1/19,1/11/20,Closed - Denied or No Claim,,Taylor,MI," $250,000 ", $-   , $-   ,"$250,000",#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!,10.00%,0.00%,0.00%,,,,Solicitor 1 RPL,,Lead HSM,Building Adjuster MAM,Building Adjuster HSM,,,,Closed - Denied or No Claim,,
2019101,,7/23/19,1/11/20,Closed,,Baldwin,MI," $75,000 ", $-   ," $52,823 ","$22,177",-42%, $-   , $-   , $-   ,$0,#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!,0.00%,0.00%,0.00%,"$4,780",,,Solicitor 1 CMG,,Lead LMF,Building Support AXQ,Building Adjuster LMF,,,,,,
2019092,,6/23/19,1/11/20,Closed,,Battle Creek,MI," $500,000 ", $-   ," $164,530 ","$335,470",-204%, $-   , $-   , $-   ,$0,#DIV/0!," $100,000 ", $-   , $-   ,"$100,000",#DIV/0!,10.00%,0.00%,10.00%,"$16,453",,,Solicitor 1 MTN,,Lead LMF,Building Support AXQ,Building Adjuster LMF,,,,,,
2019078,,5/24/19,1/11/20,Closed,,Ann Arbor,MI, $-   , $-   , $-   ,$0,#DIV/0!," $300,000 ", $-   ," $184,787 ","$115,213",-62%, $-   , $-   , $-   ,$0,#DIV/0!,0.00%,10.00%,0.00%,"$18,213",,,Solicitor 1 DC1,,Contents Adjuster RWS,Building Support AXQ,Contents Adjuster JJM,Lead JJM,,,,,
2019075,,5/21/19,1/11/20,Closed,,Grosse Pointe Park,MI, $-   , $-   ," $843,485 ","$843,485",100%, $-   , $-   ," $217,964 ","$217,964",100%, $-   , $-   , $-   ,$0,#DIV/0!,10.00%,10.00%,0.00%,"$106,145",,,Solicitor 1 DC1,,Building Support WLP,Building Adjuster LMF,Contents Adjuster MAD,Lead LMF,,,,,
2019068,,5/3/19,1/11/20,Closed,,Southfield,MI," $150,000 ", $-   ," $189,366 ","$39,366",21%," $100,000 ", $-   ," $325,000 ","$225,000",69%, $-   , $-   , $-   ,$0,#DIV/0!,9.00%,10.00%,0.00%,"$49,956",,,Solicitor 1 CMG,Solicitor 2 EAG,Building Adjuster KSV,Contents Adjuster KLT,Lead KSV,,,,,,
2019067,,4/12/19,1/11/20,Closed,,Kalamazoo,MI," $300,000 "," $300,000 "," $268,584 ","$31,416",-12%, $-   , $-   , $-   ,$0,#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!,10.00%,10.00%,10.00%,"$26,858",,,Solicitor 1 SJG,Solicitor 2 MTN,Building Adjuster LMF,Lead LMF,,,,,,,
2019051,,3/18/19,1/11/20,Closed,,Lansing,MI," $300,000 "," $300,000 "," $311,910 ","$11,910",4%," $25,000 "," $100,000 "," $102,852 ","$77,852",76%," $25,000 ", $-   ," $92,299 ","$67,299",73%,8.00%,8.00%,8.00%,"$42,156",,,Solicitor 1 EAG,,Lead JJM,Contents Adjuster RWS,BI Support WMB,Contents Adjuster JJM,Building Adjuster JJM,BI Adjuster JJM,,,
2019030,,2/6/19,1/11/20,Closed,,Detroit,MI," $400,000 "," $400,000 "," $422,164 ","$22,164",5%," $10,000 "," $10,000 ", $-   ,"$10,000",#DIV/0!," $50,000 "," $50,000 "," $45,000 ","$5,000",-11%,10.00%,10.00%,0.00%,"$44,636",,,Solicitor 1 CMG,,Contents Adjuster LMF,Lead LMF,Building Adjuster LMF,,,,,,
2019018,,2/1/19,1/11/20,Closed - Denied or No Claim,,West Bloomfield,MI," $300,000 ", $-   , $-   ,"$300,000",#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!,10.00%,0.00%,0.00%,,,,Solicitor 1 RPL,,Building Support MAM,Building Adjuster HSM,Lead RPL,,,,Closed - Denied or No Claim,,
2019008,,12/18/18,1/11/20,Closed,,Ferndale,MI," $100,000 ", $-   , $-   ,"$100,000",#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!,10.00%,0.00%,0.00%,,,,Solicitor 1 RPL,,Lead JEM,Building Adjuster JEM,,,,,,,
2019004,,1/7/19,1/11/20,Closed,,Warren,MI, $-   , $-   , $-   ,$0,#DIV/0!," $450,000 ", $-   ," $466,200 ","$16,200",3%," $50,000 ", $-   ," $16,630 ","$33,370",-201%,0.00%,5.50%,0.00%,"$26,556",,,Solicitor 1 CMG,,Lead GCB,BI Adjuster CPB,Contents Adjuster CPB,Contents Adjuster RWS,BI Support YXG,,,,
2018173,,12/4/18,1/11/20,Closed,,Southfield,MI," $750,000 ", $-   ," $1,125,831 ","$375,831",33%," $200,000 ", $-   ," $97,979 ","$102,021",-104%, $-   , $-   ," $74,786 ","$74,786",100%,6.00%,6.00%,0.00%,"$77,316",,,Solicitor 1 CMG,,Building Adjuster JEM,BI Adjuster JEM,Lead JEM,Contents Adjuster RWS,Contents Adjuster JEM,,,,
2018172,,11/26/18,1/11/20,Closed,,Detroit,MI," $100,000 "," $100,000 "," $106,405 ","$6,405",6%," $5,000 ", $-   , $-   ,"$5,000",#DIV/0!," $10,000 ", $-   ," $8,600 ","$1,400",-16%,10.00%,10.00%,10.00%,"$10,331",,,Solicitor 1 SJG,Solicitor 2 SXR,Lead DXC,Building Adjuster DXC,,,,,,,
2018167,,11/24/18,1/11/20,Closed,,Southfield,MI," $400,000 "," $900,000 "," $1,032,850 ","$632,850",61%, $-   , $-   , $-   ,$0,#DIV/0!," $50,000 "," $73,826 "," $73,826 ","$23,826",32%,10.00%,0.00%,0.00%,"$107,229",,,Solicitor 1 RPL,Solicitor 2 SXR,Building Support WLP,Lead RPL,Building Adjuster MAM,BI Adjuster JEM,Building Adjuster JEM,,,,
2018160,,11/3/18,1/11/20,Closed,,Holland,MI, $-   , $-   , $-   ,$0,#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!,0.00%,0.00%,0.00%,,,,Solicitor 1 DC1,Solicitor 2 GCB,Building Adjuster MAM,Lead GCB,Building Adjuster GCB,,,,,,
2018153,,10/29/18,1/11/20,Closed,,Gaylord,MI," $500,000 "," $150,000 "," $219,645 ","$280,355",-128%, $-   , $-   , $-   ,$0,#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!,10.00%,0.00%,0.00%,"$20,634",,,Solicitor 1 DC1,,Lead JJM,Building Adjuster JJM,,,,,,,
2018136,,9/26/18,1/11/20,Closed,,Flint,MI," $650,000 ", $-   ," $942,000 ","$292,000",31%, $-   , $-   , $-   ,$0,#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!,10.00%,0.00%,0.00%,"$91,700",,,Solicitor 1 CMG,Solicitor 2 SXR,Building Adjuster KSV,BI Adjuster YXG,Supervisor RPL,Lead KSV,,,,,
2018135,,9/25/18,1/11/20,Closed,,West Bloomfield,MI," $350,000 ", $-   ," $442,675 ","$92,675",21%," $300,000 ", $-   ," $550,000 ","$250,000",45%, $-   , $-   , $-   ,$0,#DIV/0!,4.00%,7.00%,0.00%,"$56,207",,,Solicitor 1 JEM,Solicitor 2 DC1,Building Adjuster JEM,Lead JEM,Building Support WLP,Contents Adjuster MAD,,,,,
2018122,,9/6/18,1/11/20,Closed,,Goodrich,MI," $225,000 ", $-   ," $320,826 ","$95,826",30%, $-   , $-   ," $202,493 ","$202,493",100%," $199,000 ", $-   , $-   ,"$199,000",#DIV/0!,10.00%,10.00%,10.00%,"$54,612",,,Solicitor 1 DC1,,Lead JEM,Building Adjuster JEM,Contents Adjuster MAD,,,,,,
2018120,,9/5/18,1/11/20,Closed,,Clyde,MI," $200,000 "," $50,000 "," $40,047 ","$159,953",-399%," $15,000 ", $-   , $-   ,"$15,000",#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!,10.00%,10.00%,0.00%,"$4,005",,,,Solicitor 2 KSV,Lead KSV,Contents Adjuster KSV,Building Adjuster KSV,Contents Adjuster PTJ,,,,,
2018103,,7/16/18,1/11/20,Closed,,Detroit,MI," $150,000 "," $250,000 "," $343,000 ","$193,000",56%," $400,000 "," $400,000 "," $159,830 ","$240,171",-150%," $50,000 "," $200,000 "," $194,730 ","$144,730",74%,8.00%,8.00%,8.00%,"$54,079",,,Solicitor 1 RPL,,Lead HSM,Building Adjuster HSM,BI Adjuster HSM,"Contents Adjuster HSM
Contents Adjuster RWS",Building Support AXQ,BI Support WMB,,,
2018097,,6/26/18,1/11/20,Closed,,Birmingham,MI, $-   , $-   ," $2,000,000 ","$2,000,000",100%, $-   , $-   ," $1,425,000 ","$1,425,000",100%, $-   , $-   ," $215,035 ","$215,035",100%,8.00%,8.00%,0.00%,"$273,916",,,Solicitor 1 CMG,Solicitor 2 EAG,Lead KSV,Building Adjuster KSV,Contents Adjuster KLT,Contents Support GF,,,,,
2018089,,5/29/18,1/11/20,Closed,,Berkley,MI, $-   , $-   , $-   ,$0,#DIV/0!," $200,000 "," $200,000 ", $-   ,"$200,000",#DIV/0!, $-   , $-   ," $155,290 ","$155,290",100%,0.00%,7.50%,0.00%,"$11,647",,,Solicitor 1 CMG,,Lead LMF,BI Support WMB,Contents Adjuster LMF,Contents Adjuster RWS,BI Adjuster LMF,,,,
2018071,,4/24/18,1/11/20,Closed,,Detroit,MI," $200,000 "," $200,000 "," $195,000 ","$5,000",-3%, $-   , $-   , $-   ,$0,#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!,6.50%,0.00%,0.00%,"$14,155",,,Solicitor 1 DC1,,Lead JJM,Building Adjuster JJM,,,,Building Adjuster MAM,,,
2018067,,4/19/18,1/11/20,Closed,,Reed City,MI," $800,000 "," $800,000 "," $1,080,257 ","$280,257",26%, $-   , $-   , $-   ,$0,#DIV/0!," $50,000 "," $50,000 ", $-   ,"$50,000",#DIV/0!,10.00%,0.00%,0.00%,"$105,500","$8,751",,Solicitor 1 RPL,Solicitor 2 SXR,Building Adjuster HSM,Lead RPL,BI Adjuster RPL,Building Adjuster RPL,,,,,
2018013,,1/11/18,1/11/20,Closed,,Grosse Pointe Park,MI," $150,000 "," $150,000 "," $127,146 ","$22,854",-18%," $25,000 ", $-   ," $28,293 ","$3,293",12%, $-   , $-   ," $3,000 ","$3,000",100%,10.00%,10.00%,10.00%,"$18,163",,,Solicitor 1 DC1,Solicitor 2 JJM,Lead JJM,Building Adjuster JJM,Contents Adjuster KLT,Building Support AXQ,,,,,
2018003,,12/28/17,1/11/20,Closed,,Ypsilanti,MI," $1,200,000 "," $1,200,000 "," $1,228,081 ","$28,081",2%," $300,000 "," $300,000 "," $300,000 ",$0,0%," $1,000,000 ", $-   ," $495,378 ","$504,622",-102%,8.00%,8.00%,8.00%,"$163,537",,,Solicitor 1 DC1,,Building Adjuster JJM,"Lead JJM
Supervisor LMF",Contents Adjuster JJM,BI Adjuster JJM,Contents Support RWS,BI Support WMB,,,
2017196,,11/28/17,1/11/20,Closed,,Chesterfield,MI," $125,000 "," $40,000 "," $52,814 ","$72,186",-137%," $25,000 "," $25,000 "," $14,589 ","$10,411",-71%, $-   , $-   , $-   ,$0,#DIV/0!,10.00%,10.00%,0.00%,"$6,740",,,Solicitor 1 DC1,Solicitor 2 CMG,Building Adjuster DXC,Contents Adjuster MAD,Lead DXC,,,,,,
2017182,,10/23/17,1/11/20,Closed,,Wolverine Lake,MI," $250,000 "," $400,000 "," $309,917 ","$59,917",19%," $175,000 "," $200,000 "," $211,436 ","$36,436",17%," $40,000 ", $-   ," $2,200 ","$37,800",-1718%,10.00%,10.00%,10.00%,"$47,860",,,Solicitor 1 EAG,Solicitor 2 SXR,Contents Adjuster KLT,Building Adjuster KLT,Building Adjuster JJM,Lead JJM,BI Adjuster KLT,,,,
